ROLLNO,Programme Code,Scheme No.,Scheme Name,Course No.,COURSE_CODE,COURSENAME,CREDITS,COURSETYPE,CA-I_MARKS,CA-II_MARKS,CA-III_MARKS,CA-IV_MARKS,IA CONSOLIDATEMARKS,TEST-I_MARKS,TEST-II_MARKS,ATTENDANCEMARKS,PCA-I_MARKS,PCA-II_MARKS,PCA_CONSLIDATEMARKS,CAMARKS,ENDSEMMARKS,GRACE,MARKS_TOTAL,GRADE,GDPOINT,REGISTERED_CREDITS,EARN_CREDITS,CUMMULATIVE_CREDITS,EGP,TOTAL_OBTD_MARKS,SGPA,CGPA,YGPA,DGPA,RESULT,PROMOTED_STATUS
138,3,5,B. Tech-Department of Civil Engineering-Civil Engineering-2019-20 (CBCS),809,ME104T,Engineering Graphics,2,Theory,,,15,,,7,,7,0,0,0,7,902,,7,FF,0,9,0,23,77,308,3.67,3.48,,,F,
138,3,5,B. Tech-Department of Civil Engineering-Civil Engineering-2019-20 (CBCS),816,AS106T,Engineering Physics,3,Theory,,,19,,,20,,20,0,0,0,20,902,,20,FF,0,9,0,23,77,308,3.67,3.48,,,F,
138,3,5,B. Tech-Department of Civil Engineering-Civil Engineering-2019-20 (CBCS),825,AS107L,Statistics & Integral Calculus,1,Practical,0,0,0,0,0,0,0,0,,,,,902,,0,FF,0,9,0,23,77,308,3.67,3.48,,,F,
138,3,5,B. Tech-Department of Civil Engineering-Civil Engineering-2019-20 (CBCS),826,AS107T,Statistics & Integral Calculus,3,Theory,,,11,,11,6,,6,0,0,0,17,902,,17,FF,0,9,0,23,77,308,3.67,3.48,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1968,2301103T,STATISTICS AND INTEGRAL CALCULUS,3,Theory,,,15,,15,1,,1,0,0,0,16,2,,18,F,0,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1969,2301103L,STATISTICS AND INTEGRAL CALCULUS,1,Practical,0,0,0,0,0,0,0,0,,,,12,0,,12,F,0,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1970,2301104T,SCIENCE OF NATURE,3,Theory,,,27,,27,7,,7,0,0,0,34,14,,48,F,0,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1971,2301104L,SCIENCE OF NATURE,1,Practical,0,0,0,0,0,0,0,0,,,,18,20,,38,A,8,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1972,2304102T,ESSENTIALS OF DATA SCIENCE,2,Theory,,,8,,8,5,,5,0,0,0,13,6,,19,F,0,22,13,14,68,368,3.09,2.07,,,F,
CV43,3,36,B. Tech-Civil Engineering-2023-24-Department of Civil Engineering (NEP),1973,2304102L,ESSENTIALS OF DATA SCIENCE,1,Practical,0,0,0,0,0,0,0,0,,,,8,13,,21,P,4,22,13,14,68,368,3.09,2.07,,,F,
